id,headline,links,short_description,keywords
15,Mysterious Illness at Le Roy School: Understanding Conversion Disorders,https://www.huffingtonpost.com/entry/le-roy-illness_us_5b9b471ae4b03a1dcc763c49,"Recently, the media has burst with stories about 15 teenagers in Le Roy, N.Y., where their tic-like symptoms and uncontrolled utterances have baffled local residents, school officials and families. The NYS Department of Health has been on the scene.",le-roy-illness
16,At the Top of My Lungs: In Sickness and In Health,https://www.huffingtonpost.com/entry/living-with-cancer_us_5b9d974ee4b03a1dcc89e271,"My heart is full when I look at my beautiful, strong husband. My lifeline, my ballast, my all-purpose flotation device, helping me keep my head above water.",living-with-cancer
17,The Most Beautiful Places To Nap (PHOTOS),https://www.huffingtonpost.com/entry/places-to-take-a-nap_us_5b9d925be4b03a1dcc89a850,"For more GPS Guides, click here. Feeling uninspired? Some sleep may actually do you some good. Naps have numerous benefits",places-to-take-a-nap
18,Are Antibiotics Making Us Fat?,https://www.huffingtonpost.com/entry/antibiotics-health_us_5b9c7481e4b03a1dcc7ecd4b,"Cleanliness may be next to godliness, but it might also do us in. A growing body of data suggests that a wide range of ills, from allergies and asthma to metabolic disease and superbugs, may be the consequence of our war on germs.",antibiotics-health
19,Fearless Children Can Inspire a Nation,https://www.huffingtonpost.com/entry/fearless-parenting_us_5b9c377ce4b03a1dcc7d2ae7,"I know that whether my children rise to dizzying heights or fall down flat on their road through life, I'll be right there cheering alongside them.",fearless-parenting
20,Paper-Centered Care,https://www.huffingtonpost.com/entry/papercentered-care_us_5b9debc6e4b03a1dcc8ec9c5,"There is a lot of talk in health care today about ""patient-centered"" care. Sadly, my recent experience with the health care system seems to show that we are more of a paper-centered system of care right now.",papercentered-care
21,GOP Congressman Suggests Looser Standard Of Proof For Investigating Muslims,https://www.huffingtonpost.com/entry/zeldin-muslims-reasonable-suspicion_us_575ee40be4b0e4fe51431153,"Rep. Lee Zeldin says there needs to be ""some type of process"" to protect Americans, even if there isn't sufficient evidence.",zeldin-muslims-reasonable-suspicion
22,The ACLU Is Suing To Strike Down Ohio's Congressional Map,https://www.huffingtonpost.com/entry/ohio-congressional-map-gerrymandering_us_5b056ee5e4b07c4ea103d092,"The civil liberties group says Ohio's map is so heavily gerrymandered, it violates the Constitution.",ohio-congressional-map-gerrymandering
23,Don't Like The New Climate Rules? Thank Congress.,https://www.huffingtonpost.com/entry/congress-climate-rules-emissions_us_55c127b8e4b0b75c1c8c79a6,"Legislators could have passed a climate change law to supplant Obama's regulations, but they didn't.",congress-climate-rules-emissions
24,The Story Behind An Iconic Picture Of Civil Rights Leader Julian Bond,https://www.huffingtonpost.com/entry/how-julian-bond-fought-georgia-all-the-way-to-the-supreme-court-and-won_us_55d21a65e4b055a6dab0ecc1,An often-forgotten battle for free speech rights started when the activist took a stand to take his seat.,how-julian-bond-fought-georgia-all-the-way-to-the-supreme-court-and-won
25,Pro-Abortion Rights Progressive Wins Nebraska Democratic House Primary,https://www.huffingtonpost.com/entry/kara-eastman-wins-nebraska-democratic-primary_us_5afbce44e4b0a59b4dfeaa62,Kara Eastman prevailed against an establishment favorite in challenging territory.,kara-eastman-wins-nebraska-democratic-primary
26,Democrats Oppose New Effort To Loosen Campaign Finance Rules,https://www.huffingtonpost.com/entry/campaign-finance-rider_us_56609752e4b08e945fee848f,At issue is a provision slipped into a must-pass budget bill.,campaign-finance-rider
27,Is Synthetic Cannabinoid Use Gaining Popularity Among Military Personnel?,https://www.huffingtonpost.com/entry/is-synthetic-cannabinoid-_b_5340917.html,"According to a soon-to-be-published study conducted at the University of Washington, synthetic cannabinoids are the new drug of choice among military personnel looking for a buzz and attempting to evade regular tox-screenings.",is-synthetic-cannabinoid-
28,GOP Lawmaker Compares 'Tyrant' Abraham Lincoln To Adolf Hitler,https://www.huffingtonpost.com/entry/larry-pittman-lincoln-hitler_us_58eedc2ce4b0da2ff85e0d71,The North Carolina state representative also called the Civil War "unnecessary and unconstitutional.",larry-pittman-lincoln-hitler
29,Here's How Voters Would Interpret A Clinton Loss In Iowa,https://www.huffingtonpost.com/entry/iowa-caucus-impact_us_56afbf43e4b057d7d7c7c37c,"A Sanders victory would be significant for him, but not fatal to Clinton.",iowa-caucus-impact
30,"Anti-Gay, Anti-Mormon Hate Group Sponsors Reince Priebus' RNC Israel Trip",https://www.huffingtonpost.com/entry/antigay-antimormon-hate-group_b_6581586.html,"The American Family Association, sponsor of the Republican National Committee's upcoming Israel trip (organized and led by pastor David Lane), is no less extreme and has been venting its virulently hateful anti-LGBT, nativist, religious supremacist, and arguably racist rhetoric across America's airwaves for years.",antigay-antimormon-hate-group
31,Here's The Draft Democratic Party Platform,https://www.huffingtonpost.com/entry/heres-the-draft-democrati_b_10778090.html,Here's the draft of the Democratic Party platform. It is dramatically more progressive than the 2012 version. The nation's political center of gravity has changed.,heres-the-draft-democrati
32,"Don Jr., Its a Beautiful Day For A Walk Around Your Neighborhood",https://www.huffingtonpost.com/entry/don-jr-phone-booth-faces-twitter_us_5a566ac8e4b08a1f624aec62,You never know what you might find.,don-jr-phone-booth-faces-twitter
33,"Alabama Governor: If We Can Put A Man On The Moon, We Can Build More Prisons",https://www.huffingtonpost.com/entry/alabama-governor-prisons_us_589b3270e4b04061313a8dfc,The Department of Justice launched an investigation last year into conditions at the state's prisons.,alabama-governor-prisons
34,They Are Children,https://www.huffingtonpost.com/entry/border-children-immigration_b_5625602.html,"Although members of Congress and the president are professing to pursue a humanitarian response to the border crisis, the proposed solutions often undercut the very protections that children have in current law in order to have the Border Patrol expedite their deportation back to Central America.",border-children-immigration
35,The Biggest Nuclear Threat To America? It's Ourselves.,https://www.huffingtonpost.com/entry/the-biggest-nuclear-threat-to-america_us_5900e1ade4b0768c2682e230,The U.S. has been very fortunate not to have nuked itself with multiple hydrogen bombs over the last 70 years.,the-biggest-nuclear-threat-to-america
36,Eric Holder: Profiling Continues,https://www.huffingtonpost.com/entry/eric-holder-profiling-continues_b_6319528.html,"I first met Eric Holder during the Clinton years when he was serving as Deputy Attorney General. Back then, my community was deeply troubled by FBI harassment, the government's use of ""secret evidence"" to detain individuals and profiling of Muslim or Arab-looking individuals at airports around the country.",eric-holder-profiling-continues
37,The 16-Year War In Afghanistan Headlines Tell The Story,https://www.huffingtonpost.com/entry/the-16-year-war-in-afghanistan-headlines-tell-the_us_59975af3e4b02eb2fda31fee,Since 2001 the US has been at War in Afghanistan the longest war in US history. Headlines concisely tell the story of this,the-16-year-war-in-afghanistan-headlines-tell-the
38,The Opioid Iceberg Dead Ahead In The Sea Of ACA Repeal,https://www.huffingtonpost.com/entry/the-opioid-iceberg-dead-ahead-in-the-sea-of-aca-repeal_us_5923434de4b07617ae4cbe9b,"There's a moral imperative to address America's addiction crisis, but there's also a practical, financial case.",the-opioid-iceberg-dead-ahead-in-the-sea-of-aca-repeal
39,Jeb Bush To Roll Out Energy Plan At Company With A History Of Violations,https://www.huffingtonpost.com/entry/jeb-bush-energy-policy_us_5609a3f6e4b0768126feb022,Rice Energy has amassed 121 violations and more than a half a million dollars in fines since 2010.,jeb-bush-energy-policy
40,Republicans Abandon Wall Funding Demand,https://www.huffingtonpost.com/entry/republicans-wall-funding_us_58ffb2a0e4b091e8c711147c,The concession suggests lawmakers may actually be close to a deal to avert a government shutdown.,republicans-wall-funding
41,Paul McCartney And Nirvana's Surviving Members Perform Together At Seattle Concert (VIDEO),https://www.huffingtonpost.com/entry/paul-mccartney-nirvana-seattle_us_5bb43171e4b066f8d25607f2,The surviving members of Nirvana joined Paul McCartney onstage Friday night during the 71-year-old singer's Seattle concert,paul-mccartney-nirvana-seattle
42,Tenacious D's Comedy Festival Reigns Supreme,https://www.huffingtonpost.com/entry/tenacious-ds-comedy-festiva_b_6065516.html,"KG and Jaybles have done it again. Festival Supreme has now blossomed into the Coachella of comedy, drawing the best and brightest of today's stand ups and musical acts and has now become the place for legends to reunite.",tenacious-ds-comedy-festiva
43,Jon Hamm Celebrates Jon Stewart's Best 'Daily Show' Musical Moments,https://www.huffingtonpost.com/entry/jon-stewart-jon-hamm-daily-show_us_5593f357e4b02ca2a4d6b807,"Jon Hamm: he's the guy who bought the world a Coke, and also the only other person on TV who spells ""Jon"" correctly. That",jon-stewart-jon-hamm-daily-show
44,Walking Dead' Actor Defends Show Over Apparent Plot Hole,https://www.huffingtonpost.com/entry/walking-dead-actor-defends-show-over-apparent-plot-hole_us_5ab32540e4b054d118df952b,Jason Douglas explains the reason for that confusing turn of events.,walking-dead-actor-defends-show-over-apparent-plot-hole
45,Bruce Springsteen Rocks Out With His Mom In Adorable Video,https://www.huffingtonpost.com/entry/bruce-springsteen-rocks-out-with-his-mom-in-adorable-video_us_56fa9c20e4b0a372181afd26,The Boss and his 90-year-old mother danced to "Ramrod" at Madison Square Garden.,bruce-springsteen-rocks-out-with-his-mom-in-adorable-video
46,"Paul McCartney's 'New' Album Features Production By Mark Ronson, Paul Epworth, Giles Martin",https://www.huffingtonpost.com/entry/paul-mccartney-new-album-mark-ronson-paul-epworth-giles-martin_us_5bb43942e4b066f8d2567ed5,"With just weeks until the release of his next album, Sir Paul McCartney publicized the tracklist to the upcoming project",paul-mccartney-new-album-mark-ronson-paul-epworth-giles-martin
47,Taylor Swift And Calvin Harris Give Each Other Predictably Adorable Anniversary Gifts,https://www.huffingtonpost.com/entry/taylor-swift-calvin-harris-one-year-anniversary-gifts_us_56dd7cc8e4b0ffe6f8e9d9c9,Today is a fairy tale.,taylor-swift-calvin-harris-one-year-anniversary-gifts
48,16-Year-Old Shocking Texts To Her Mom,https://www.huffingtonpost.com/entry/16-year-olds-shocking-texts-to-her-mom_us_55c8454fe4b0f1cbf1e56fa4,Ann and Mike say they live in fear of their 16-year-old daughter Kristi -- so much so that they now sleep with a baseball,16-year-olds-shocking-texts-to-her-mom
49,"J.J. Abrams, 'Star Wars' Director, Says Production On New Trilogy Will Likely Begin In Early 2014",https://www.huffingtonpost.com/entry/jj-abrams-star-wars-production_us_5bb42cbbe4b066f8d255ab7f,Abrams remained elusive when asked whether the new trilogy would incorporate unexplored elements of the "Star Wars" universe,jj-abrams-star-wars-production
50,David Bowie Earns First No. 1 Album With 'Blackstar',https://www.huffingtonpost.com/entry/david-bowie-blackstar-first-number-one-album_us_569d5df2e4b0cd99679b19be,The album was released two days before he died of cancer on Jan. 10.,david-bowie-blackstar-first-number-one-album
51,What Apple's U2 Stunt Really Says About the Future of Music,https://www.huffingtonpost.com/entry/what-apples-u2-stunt-real_b_5846838.html,"The devaluation of music has also the devalued the listener. Maybe the problem with music isn't technology. Maybe it's us. Could it be that the music industry is sinking and fewer people are buying music -- not only because people don't want to pay for it, but because listening to music is now officially a lost art?",what-apples-u2-stunt-real
52,"Yep, The New 'Justice League' Trailer Is All About Wonder Woman",https://www.huffingtonpost.com/entry/justice-league-wonder-woman-gal-gadot_us_5973b7b0e4b09e5f6ccfbc9d,The Amazon takes out a whole gang of assassins by herself.,justice-league-wonder-woman-gal-gadot
53,Here's What You Didn't See On 'The Bachelor Winter Games',https://www.huffingtonpost.com/entry/the-bachelor-winter-games-what-you-didnt-see_us_5a8743cce4b05c2bcacab5e8,Contestant Michael Garofola broke down the behind-the-scenes fun that ended up on the cutting room floor.,the-bachelor-winter-games-what-you-didnt-see
54,These Incredible 3D Models Of Star Wars Land Are Our Only Hope,https://www.huffingtonpost.com/entry/star-wars-land-photos_us_5968bd93e4b03389bb16b191,Disney has unveiled a detailed look at its newest theme park.,star-wars-land-photos
55,The Backstreet Boys Dressed As the Spice Girls Are Larger Than Life,https://www.huffingtonpost.com/entry/the-backstreet-boys-dressed-as-the-spice-girls-are-larger-than-life_us_5af3266ee4b0a0d601e942e0,They even sang some of the Spice Girls' best hits.,the-backstreet-boys-dressed-as-the-spice-girls-are-larger-than-life
56,Fantastic Four' Cast Handles Offensive Interview Like Pros,https://www.huffingtonpost.com/entry/fantastic-four-offensive-interview_us_55bcd9d1e4b0b23e3ce2f963,Why are these questions being asked in the first place?,fantastic-four-offensive-interview
57,Justin Timberlake's SXSW Concert Rocks,https://www.huffingtonpost.comhttp://music-mix.ew.com/2013/03/17/justin-timberlake-sxsw/,"If you thought Justin Timberweek ended with Friday night's Late Night With Jimmy Fallon, you had another thing coming. Read",
58,Video Premiere: Dewey Decibel & Zilla Rocca - "Cappuccino",https://www.huffingtonpost.com/entry/video-premiere-dewey-deci_b_6534176.html,The reason Dewey Decibel's rhymes go hard in the paint is because the MC is always equipped with a brush. The main draw of the video for "Cappuccino" - from his upcoming A Different Drum EP - is to see the creations of the Philadelphia rapper/illustrator in live action.,video-premiere-dewey-deci
59,Not Everyone at American Idol Thinks Pulling the Plug Was the Right Vote,https://www.huffingtonpost.com/entry/not-everyone-at-american_b_8995422.html,"Not everyone associated with Fox's American Idol agrees it's time for the show to be sent home. The most popular and influential unscripted television show of the 21st century just launched its 15th season, which will be the last.",not-everyone-at-american
60,Zach Woods Is Officially The MVP Of 'Silicon Valley',https://www.huffingtonpost.com/entry/zach-woods-silicon-valley_us_5af5fa16e4b0e57cd9f97299,"A conversation with the comedy mastermind about playing Jared, the heart of the HBO tech satire's fifth season.",zach-woods-silicon-valley
61,Celine Dion's Brother Daniel Dead At 59 After Battle With Cancer,https://www.huffingtonpost.com/entry/celine-dions-brother-daniel-dead_us_569abcbbe4b0ce496424b621,The news comes just days after Dion's husband died at 73.,celine-dions-brother-daniel-dead
62,Remembering Christopher McCandless 20 Years Later,https://www.huffingtonpost.com/entry/remembering-christopher-mccandless_us_5b9c24e6e4b03a1dcc7c9c9a,"Discussions of McCandless' life, either through reading the book, watching the film or hearing passing information about",remembering-christopher-mccandless
63,Start Stop (the Scott Expedition - Day 15) - 100 Miles in Despite Antarctic Storm,https://www.huffingtonpost.com/entry/start-stop-day-15-100-mil_us_5b9da73ee4b03a1dcc8add17,"We woke to the same conditions and it was my turn to poke my head out to see if we could travel. There was no horizon or contrast, just thick whiteout, and only in the slight shadow of the tent could I see the blizzard flying past us.",start-stop-day-15-100-mil
64,Google Maps Just Got An Awesome New Update You'll Want To Use,https://www.huffingtonpost.com/entry/google-maps-update_us_58a217cce4b094a129edd3c2,Travelers are going to love this one.,google-maps-update
65,Why London Is the World's Most Stimulating City,https://www.huffingtonpost.com/entry/london-travel-visit_us_5b9c87d8e4b03a1dcc7f7f97,"I currently live in Los Angeles, by way of New York City: two very large, very self-focused metropolitan megacities. But London... London is my favorite city in the world by far.",london-travel-visit
66,Smart Travel Advice: Don't 'Micromanage' Your Next Trip,https://www.huffingtonpost.com/entry/smart-travel-advice_us_5b9dd154e4b03a1dcc8d4044,"He's walked across Israel, bicycled across Burma, piloted a fishing boat down the Laotian Mekong, and driven a Land Rover across the Americas. In 2010, to prove a point about traveling light, he trekked around the world for six weeks with no luggage or bags of any kind.",smart-travel-advice
67,5 of the Most Uber-Luxurious Suites in Las Vegas,https://www.huffingtonpost.com/entry/5-of-the-most-uber-luxuri_us_5b9d55b8e4b03a1dcc86c723,"Vegas is a city that is decidedly over-the-top, so it's no wonder that it's host to some of the most luxurious hotel accommodations in the world. We've selected five of the city's most jaw-dropping, high-roller-worthy suites that we think embody modern Las Vegas decadence.",5-of-the-most-uber-luxuri
68,A Vintage Addict Ransacks San Francisco,https://www.huffingtonpost.com/entry/vintage-addict-in-san-fra_us_5b9bbfd2e4b03a1dcc7a08ac,"I get down to serious business in San Francisco every season, devoting entire days to discovering new, old gems.",vintage-addict-in-san-fra
69,Go Now: 5 Spectacular Fall Drives,https://www.huffingtonpost.com/entry/go-now-5-spectacular-fall_us_5b9d9bfee4b03a1dcc8a2720,"America has so many breathtakingly scenic highways, it's no wonder that the family road trip is a national obsession. But summer isn't the only season to pack up the family and hit the pavement. In the northeast, fall foliage season is just hitting its peak.",go-now-5-spectacular-fall
70,Hunting For Covered Bridges In New England (PHOTOS),https://www.huffingtonpost.com/entry/covered-bridges-new-england_us_5b9c622fe4b03a1dcc7e40a1,"When I tell a waitress in Troy, Vermont that I'm looking for covered bridges, she nods thoughtfully and suggests a few country",covered-bridges-new-england
71,"Shame On You, Tourists",https://www.huffingtonpost.com/entry/shame-on-you-tourists_us_58e5dc85e4b00ea3841db61c,Your Instagram animal selfie isnt worth a lifetime of misery for the animals you claim to love.,shame-on-you-tourists
72,A Stylish Guide To London's West End,https://www.huffingtonpost.com/entry/a-stylish-guide-to-london_us_5b9c52d9e4b03a1dcc7dcdad,"Make for media hub Bloomsbury, where high-profile publishers and digital media firms abound and cultural institutions like the British Museum and University of London set a smart, worldly tone.",a-stylish-guide-to-london
73,This Is What It's Like To Free Dive With Whales,https://www.huffingtonpost.com/entry/this-is-what-its-like-to-free-dive-with-whales_us_55afe0c9e4b0a9b948535baf,"When filmmaker and photographer Michaela Skovranova and her family moved from Slovakia to Sydney, they jumped into the big",this-is-what-its-like-to-free-dive-with-whales
74,The Dark Side of Traveling You Don't Write About in Postcards,https://www.huffingtonpost.com/entry/the-dark-side-of-traveling_us_5b9d8b53e4b03a1dcc895594,"Deep inside travelers lies a dark secret. It presents itself innocently enough, just a twinge as you're walking a foreign street, a slight ache that's probably just a little fatigue or hunger or maybe sun poisoning? Could you be -- no, you won't even let the word slip into your frontal lobe.",the-dark-side-of-traveling
75,8 Best Places To Photograph In The World (PHOTOS),https://www.huffingtonpost.com/entry/8-best-places-to-photograph_us_5b9bd554e4b03a1dcc7a9a8f,We've all been there. Standing in a crowd craning our necks to view the Mona Lisa. Watching the tourists pretend to "hold,8-best-places-to-photograph
76,Great Beach Destinations For This Summer (PHOTOS),https://www.huffingtonpost.com/entry/great-beach-destinations-summer_us_5b9bee40e4b03a1dcc7b3632,"But while some of us are happy with just a patch of sand and a salty sea breeze, others hit the beach with a little something specific in mind.",great-beach-destinations-summer
77,"Surf's Up, But Not For Me",https://www.huffingtonpost.com/entry/surfs-up-but-not-for-me_us_5b9c6c22e4b03a1dcc7e8624,"Seeing the rest of Oahu is like seeing the rest of, say, New York State: You don't know it exists until you get out of the big city, whether it's New York or Honolulu, and then you're surprised at how beautiful it is.",surfs-up-but-not-for-me
78,Top Tips For Picking The Right Cruise Stateroom,https://www.huffingtonpost.com/entry/top-tips-for-picking-the_us_5b9c5b20e4b03a1dcc7e0589,"The average hotel room in the United States measures 300 square feet; in contrast, the average cruise cabin measures about 175 square feet. It's what you get for that space that's important.",top-tips-for-picking-the
79,Carnival Labor Day: Charlie Chants 'Union',https://www.huffingtonpost.com/entry/carnival-labor-day-charli_us_5b9d6a7ce4b03a1dcc87c01b,"Carny John once helped his mother run a carnival but says he gave up ownership because of carnies, who describes as a class of difficult, overlooked people he loves.",carnival-labor-day-charli
80,5 Travel Fears to Get Over,https://www.huffingtonpost.com/entry/5-fears-that-dont-let-you_us_5b9d48dae4b03a1dcc864b97,"Traveling the world and exploring varied cultures is a dream that everyone, to some degree, yearns to fulfill. But what stops people from fulfilling their dreams?",5-fears-that-dont-let-you
81,30 Epic Places You Absolutely Must Visit Before You're 30,https://www.huffingtonpost.com/entry/30-before-30_us_5b9d941de4b03a1dcc89c094,"9. The Dead Sea in Jordan and Israel With a Biblical history and a perch in the midst of modern conflict, this could be the",30-before-30
82,A Giant List Of Epic Destinations For Anyone Who Lives To Travel,https://www.huffingtonpost.com/entry/best-places-to-travel_us_576838f1e4b015db1bca2b34,Pack your bags.,best-places-to-travel
83,Can Regulation Provide Global Financial Stability?,https://www.huffingtonpost.com/entry/can-regulation-provide-gl_b_5530754.html,"Achieving financial stability will continue to require risk management skills, good governance, personal ethics, and, above all, courage to act to prevent further deterioration of finance.",can-regulation-provide-gl
84,Regulator Warns Banks They Can't Use New Chat System To Hide Information,https://www.huffingtonpost.com/entry/symphony-instant-messaging_us_55afd554e4b07af29d572851,Better security could also make it easier for banks to hide information.,symphony-instant-messaging
85,Robin Wright Explains Why She Fought For Equal Pay For 'House of Cards',https://www.huffingtonpost.com/entry/robin-wright-video-house-cards-equal-pay_us_573cabe3e4b0aee7b8e8ad68,Claire Underwood would be proud.,robin-wright-video-house-cards-equal-pay
86,Who Will Win Out Between the Millennials and Boomers?,https://www.huffingtonpost.com/entry/millenials-baby-boomers-marketing_b_5806800.html,"From a marketing perspective, who will win out between the Millennials and Boomers? In many ways it comes down to cultural dominance, and in this sense Millennials are much more influential.",millenials-baby-boomers-marketing
87,Go from Great to the Ideal Job Candidate,https://www.huffingtonpost.com/entry/go-from-great-to-the-idea_b_7173972.html,"How can I outsmart everyone else? The answer lies in being able to present a profile of yourself as a candidate who 'checks all of the boxes' off your prospective employer's candidate wish list. So, where do you find this wish list? It's right in the job description.",go-from-great-to-the-idea
88,My Biggest Leadership Win: The Day My Life Stopped Working,https://www.huffingtonpost.com/entry/my-biggest-leadership-win_b_6426518.html,"To truly lead in the world and create the results you want in all areas of your life, it will require you to create conscious shifts and become the leader of your future.",my-biggest-leadership-win
89,The 10 Cities With The Longest Work Weeks,https://www.huffingtonpost.com/entry/cities-longest-work-weeks_n_6894118.html,Feeling overworked? Moving to a different city could help.,cities-longest-work-weeks
90,The Facebook Apology Tour Continues,https://www.huffingtonpost.com/entry/facebook-mark-zuckerberg-apology-reporter-interview_us_5ac53e06e4b0aacd15b80dc4,Mark Zuckerberg spoke with reporters on topics including trust in the site and trust in his own leadership.,facebook-mark-zuckerberg-apology-reporter-interview
91,Australia Tobacco Tax: Price Of Cigarettes To Exceed $20 A Pack,https://www.huffingtonpost.com/entry/australia-tobacco-tax-cigarette-prices-pack_us_5bb2e2d3e4b0480ca65dfe9f,"In September, the Australian Associated Press reported that tobacco tax revenue fell by $341 million. The federal government",australia-tobacco-tax-cigarette-prices-pack
92,Shell's Arctic Ambitions Held Up in Seattle,https://www.huffingtonpost.com/entry/shells-arctic-ambitions-held-up-in-seattle_b_7224028.html,"It is not at all clear that Shell will, in fact, move forward with drilling, even if it can obtain a city permit in time. It still needs to receive the necessary approvals from the U.S. Department of Interior for its drilling plans in the Chukchi Sea.",shells-arctic-ambitions-held-up-in-seattle
93,5 Principles for Moral Leadership,https://www.huffingtonpost.com/entry/benjamin-franklin-ethics_us_5bb2e5c1e4b0480ca65e3c1c,Benjamin Franklin wasn't above a little "slick PR" but he believed that the appearance of integrity would inevitably be undone without the reality in support of it.,benjamin-franklin-ethics
94,Retail Workers Ask Themselves What Thanksgiving With Family Is Worth,https://www.huffingtonpost.com/entry/working-thanksgiving_us_5bb30336e4b0480ca6615a51,There have been people who've had to work on Thanksgiving for as long as it's been a holiday. A lot of them perform essential,working-thanksgiving
95,Outdoor Workspace: The Next Workplace Frontier,https://www.huffingtonpost.com/entry/outdoor-workspace-the-nex_1_b_7308528.html,"If you could take a vacation to anywhere in the world, where would you go? This is how Kirt Martin, VP of Design and Marketing for Landscape Forms, starts every conversation. Not surprisingly, nearly everyone answers somewhere outdoors.",outdoor-workspace-the-nex
96,Uber Unveils 'Movement' Tool To Help City Planners Better Analyze Traffic Patterns,https://www.huffingtonpost.com/entry/uber-movement-traffic-data-city-tool_us_5873b2c7e4b099cdb0fe5eea,"Smart infrastructure decisions help everyone, including Uber.",uber-movement-traffic-data-city-tool
97,"John Milton Merritt Allegedly Stole $300,000 From Four Orphan Girls",https://www.huffingtonpost.com/entry/john-milton-merritt-orphans_us_5bb2cb16e4b0480ca65c2e17,"Last Friday, Attorney John Milton Merritt plead guilty to 12 counts of using forged court orders to defraud clients, Oklahoma",john-milton-merritt-orphans
98,Digital Voices and Corporate Reputation,https://www.huffingtonpost.com/entry/digital-voices-and-corpor_b_5406510.html,"In just one click and a nanosecond, social media have a lot to say about corporations, their behavior and, ultimately, their reputations.",digital-voices-and-corpor
